,date,times,end,vols
1892,20210105,1315,82200,454281
1893,20210105,1320,82100,505366
1894,20210105,1325,82200,345272
1895,20210105,1330,82100,290959
1896,20210105,1335,82200,180722
1897,20210105,1340,82300,127580
1898,20210105,1345,82200,101073
1899,20210105,1350,82200,105311
1900,20210105,1355,82200,117385
1901,20210105,1400,82200,240770
1902,20210105,1405,82200,243397
1903,20210105,1410,82400,237995
1904,20210105,1415,82500,367033
1905,20210105,1420,82500,246311
1906,20210105,1425,82600,214783
1907,20210105,1430,82500,114206
1908,20210105,1435,82400,287577
1909,20210105,1440,82400,113906
1910,20210105,1445,82500,561002
1911,20210105,1450,82700,190557
1912,20210105,1455,83000,726524
1913,20210105,1500,83000,429356
1914,20210105,1505,83300,1080624
1915,20210105,1510,83600,794486
1916,20210105,1515,83400,670868
1917,20210105,1520,83500,589853
1918,20210105,1530,83900,1635705
1919,20210106,905,84100,3630680
1920,20210106,910,84200,1884643
1921,20210106,915,84100,1532305
1922,20210106,920,84100,560632
1923,20210106,925,84000,828091
1924,20210106,930,83700,1088256
1925,20210106,935,83800,696363
1926,20210106,940,83900,564038
1927,20210106,945,83900,498565
1928,20210106,950,83800,391128
1929,20210106,955,83600,643521
1930,20210106,1000,83600,764217
1931,20210106,1005,83500,653942
1932,20210106,1010,83500,1180177
1933,20210106,1015,83600,600596
1934,20210106,1020,83300,576381
1935,20210106,1025,83300,236971
1936,20210106,1030,83400,667166
1937,20210106,1035,83500,379088
1938,20210106,1040,83300,296228
1939,20210106,1045,83300,299986
1940,20210106,1050,83100,843157
1941,20210106,1055,83200,458020
1942,20210106,1100,83200,318973
1943,20210106,1105,83300,551073
1944,20210106,1110,83300,283980
1945,20210106,1115,83400,282213
1946,20210106,1120,83500,344532
1947,20210106,1125,83400,201308
1948,20210106,1130,83600,378022
1949,20210106,1135,83700,499997
1950,20210106,1140,83700,284406
1951,20210106,1145,83700,141962
1952,20210106,1150,83500,319958
1953,20210106,1155,83400,182562
1954,20210106,1200,83200,265976
1955,20210106,1205,83300,375591
1956,20210106,1210,83300,438701
1957,20210106,1215,83200,320482
1958,20210106,1220,83200,139176
1959,20210106,1225,83200,131538
1960,20210106,1230,83200,173315
1961,20210106,1235,83200,151771
1962,20210106,1240,83200,321088
1963,20210106,1245,83200,214430
1964,20210106,1250,83200,189618
1965,20210106,1255,83100,193437
1966,20210106,1300,83100,78611
1967,20210106,1305,83100,1006598
1968,20210106,1310,82900,1388029
1969,20210106,1315,83100,655149
1970,20210106,1320,83300,150508
1971,20210106,1325,83400,342968
1972,20210106,1330,83500,388722
1973,20210106,1335,83400,345824
1974,20210106,1340,83500,295970
1975,20210106,1345,83300,437329
1976,20210106,1350,83300,258366
1977,20210106,1355,83300,321802
1978,20210106,1400,83400,244084
1979,20210106,1405,83100,244898
1980,20210106,1410,83200,118549
1981,20210106,1415,83400,130163
1982,20210106,1420,83300,320006
1983,20210106,1425,83400,154109
1984,20210106,1430,83400,249663
1985,20210106,1435,83300,339664
1986,20210106,1440,83400,278924
1987,20210106,1445,83200,376556
1988,20210106,1450,83200,312324
1989,20210106,1455,83000,559786
1990,20210106,1500,82800,767777
1991,20210106,1505,82800,667758
1992,20210106,1510,82600,1229503
1993,20210106,1515,82300,1459157
1994,20210106,1520,82400,824793
1995,20210106,1530,82200,1256337
1996,20210107,905,82800,2021422
1997,20210107,910,83000,684430
1998,20210107,915,83600,1351484
1999,20210107,920,83800,1099268
2000,20210107,925,83300,424728
2001,20210107,930,83100,373970
2002,20210107,935,83500,557943
2003,20210107,940,83400,256665
2004,20210107,945,83600,472462
2005,20210107,950,83500,333027
2006,20210107,955,83600,418383
2007,20210107,1000,83600,228865
2008,20210107,1005,83500,370647
2009,20210107,1010,83500,368589
2010,20210107,1015,83300,413759
2011,20210107,1020,83300,290725
2012,20210107,1025,83300,320798
2013,20210107,1030,83300,133499
2014,20210107,1035,83400,214972
2015,20210107,1040,83500,217629
2016,20210107,1045,83500,391789
2017,20210107,1050,83600,473455
2018,20210107,1055,83600,316865
2019,20210107,1100,83600,282617
2020,20210107,1105,83500,505762
2021,20210107,1110,83600,79907
2022,20210107,1115,83600,238718
2023,20210107,1120,83600,208550
